Player’s Hand,2,3,4,5,6,7,8,9,10,A
11,db,db,db,db,db,-9,-6,-4,-4,1
10,-8,-9,-10,db,db,-6,-4,-1,4,4
9,1,0,-2,-4,-6,3,7,-,-,-
8**,-,9,5,3,1,-,-,-,-,-
7,-,-,-,9,9,-,-,-,-,-
A-9,10,8,6,5,4,-,-,-,-,-
A-8,8,5,3,1,1,-,-,-,-,-
A-7,0,-2,-6,-8,-10,-,-,-,-,-
A-6,1,-3,-7,-10,db,-,-,-,-,-
A-5,-,4,-2,-6,db,-,-,-,-,-
A-4,-,7,0,-4,-9,-,-,-,-,-
A-3,-,7,1,-1,-4,-,-,-,-,-
A-2,-,7,3,0,-1,-,-,-,-,-
